number,title,group_name,subgroup_name
115,"Pod krzyżem mego Zbawcy","I. Bóg Trójjedyny","6. Dzieło pojedniania"
116,"O, zaśpiewaj ty z radości","I. Bóg Trójjedyny","6. Dzieło pojedniania"
117,"Przesłodka jest wieść o Jezusie","I. Bóg Trójjedyny","6. Dzieło pojedniania"
118,"Przez różnych ziem krainy","I. Bóg Trójjedyny","6. Dzieło pojedniania"
119,"Tam na wzgórzu stał","I. Bóg Trójjedyny","6. Dzieło pojedniania"
120,"W Twej łasce, Panie","I. Bóg Trójjedyny","6. Dzieło pojedniania"
121,"Bóg chce wszystkim ludziom","II. Droga Zbawienia","7. Wezwanie do Jezusa"
122,"Idź pod krzyż z ciężary swymi","II. Droga Zbawienia","7. Wezwanie do Jezusa"
123,"Chrystusa ogłoś serca swego Królem","II. Droga Zbawienia","7. Wezwanie do Jezusa"
124,"Czemuż dusza twoja lgnie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
125,"Co to za niezliczony tłum","II. Droga Zbawienia","7. Wezwanie do Jezusa"
126,"Cóż to w cichych chwilach nocy","II. Droga Zbawienia","7. Wezwanie do Jezusa"
127,"Czym ci Jezusa miłość jest, czym?","II. Droga Zbawienia","7. Wezwanie do Jezusa"
128,"Czy Twe serce w Jezusie szczęśliwe","II. Droga Zbawienia","7. Wezwanie do Jezusa"
129,"Czy zobaczę cię przy zdroju","II. Droga Zbawienia","7. Wezwanie do Jezusa"
130,"Jezus woła ciebie, duszo","II. Droga Zbawienia","7. Wezwanie do Jezusa"
131,"Dlaczego się temu tak bardzo dziwicie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
132,"Do ciebie, duszo, zbliżam się","II. Droga Zbawienia","7. Wezwanie do Jezusa"
133,"Ducha cię dotknęło tchnienie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
134,"Do cudnej pielgrzymujemy chwały","II. Droga Zbawienia","7. Wezwanie do Jezusa"
135,"Głos Jezusa słychać","II. Droga Zbawienia","7. Wezwanie do Jezusa"
136,"Jezus woła pośród zgiełku","II. Droga Zbawienia","7. Wezwanie do Jezusa"
137,"Duszo, słuchaj cudnej wieści","II. Droga Zbawienia","7. Wezwanie do Jezusa"
138,"Głośno biją niebios dzwony","II. Droga Zbawienia","7. Wezwanie do Jezusa"
139,"I czemuż wciąż czekasz","II. Droga Zbawienia","7. Wezwanie do Jezusa"
140,"Jest miejsca dość, jest jeszcze czas","II. Droga Zbawienia","7. Wezwanie do Jezusa"
141,"Imię Jezus wiecznie świeże","II. Droga Zbawienia","7. Wezwanie do Jezusa"
142,"Już bracie, siostro","II. Droga Zbawienia","7. Wezwanie do Jezusa"
143,"Już pociąg łaski Bożej","II. Droga Zbawienia","7. Wezwanie do Jezusa"
144,"Kiedy ci w świecie smutno, źle","II. Droga Zbawienia","7. Wezwanie do Jezusa"
145,"Kiedy usłyszysz śmierci głos","II. Droga Zbawienia","7. Wezwanie do Jezusa"
146,"Miły głos Ducha odzywa się","II. Droga Zbawienia","7. Wezwanie do Jezusa"
147,"Krótki jest czas","II. Droga Zbawienia","7. Wezwanie do Jezusa"
148,"Oj, pamiętaj, bracie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
149,"Mam Przyjaciela","II. Droga Zbawienia","7. Wezwanie do Jezusa"
150,"Powstań, powstań z nieprawości","II. Droga Zbawienia","7. Wezwanie do Jezusa"
151,"Masz Jezusa, serca pokój","II. Droga Zbawienia","7. Wezwanie do Jezusa"
152,"Nie masz miejsca dla Jezusa","II. Droga Zbawienia","7. Wezwanie do Jezusa"
153,"Na Jezusa krzyż spoglądaj","II. Droga Zbawienia","7. Wezwanie do Jezusa"
154,"Niech pragnący bierze ten życia dar","II. Droga Zbawienia","7. Wezwanie do Jezusa"
155,"Przyjacielu, patrz","II. Droga Zbawienia","7. Wezwanie do Jezusa"
156,"O duszo, pośpieszaj do krzyża","II. Droga Zbawienia","7. Wezwanie do Jezusa"
157,"Ojczyzna w górze już otwarta","II. Droga Zbawienia","7. Wezwanie do Jezusa"
158,"Wędrowcze, wróć do Ojca, wróć!","II. Droga Zbawienia","7. Wezwanie do Jezusa"
159,"O nie chodź, nie bądź światem sam","II. Droga Zbawienia","7. Wezwanie do Jezusa"
160,"O wpuść w głębinę duszy, wpuść","II. Droga Zbawienia","7. Wezwanie do Jezusa"
161,"O, wróć, o, wróć!","II. Droga Zbawienia","7. Wezwanie do Jezusa"
162,"O wstań, rodzinny opuść kraj","II. Droga Zbawienia","7. Wezwanie do Jezusa"
163,"O, zaczekaj, rozważ sobie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
164,"Pan zwołuje owce z błędnych dróg","II. Droga Zbawienia","7. Wezwanie do Jezusa"
165,"Patrz, kto stoi u twych drzwi!","II. Droga Zbawienia","7. Wezwanie do Jezusa"
166,"Pójdźcie wszyscy po zbawienie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
167,"Pójdź do Zbawcy, droga duszo","II. Droga Zbawienia","7. Wezwanie do Jezusa"
168,"Pójdź do Jezusa, dziś jeszcze czas","II. Droga Zbawienia","7. Wezwanie do Jezusa"
